Min (Diameter) (µm),Max (Diameter) (µm),Mean (Diameter) (µm),Elongation,Sphericity,Shape Factor,Mean (Gray Intensity Value),Age (Ma),FILE_NAME,Area (µm²),Perimeter (µm)
223.49875538196056,303.93113930902996,267.50433076763375,1.2379033020043317,0.6664466308281403,0.7894477968574013,158.22732918520325,0.483529411764706,"925B,3H-2,142-144.csv",65001.9548205611,944.3370242732346
222.25843512723478,295.037851819851,260.6460755790614,1.2233739521600366,0.6829615505839459,0.8180610069097446,118.5574320625521,0.484117647058824,"925B,3H-2,144-146.csv",60923.143719070235,901.1744773487167
236.43095728956615,308.3230618005456,273.7162848792261,1.214445055782828,0.6967077213042445,0.8260445075752251,112.27698118935984,0.458446043165468,"925B,3H-2,54-56.csv",69254.03005217684,942.2463359556641
259.7274737410498,333.32818068896324,298.1050885586259,1.192967796080389,0.7233451656152047,0.8313854978760964,119.08517299730019,0.469669064748201,"925B,3H-2,94-96.csv",83930.93449040127,1023.4660275400307
205.39930697154557,276.4495903034469,244.44978967604087,1.2288285614911432,0.6768288864849905,0.8075565741396185,103.21866308333458,0.521263157894737,"925B,3H-3,104-106.csv",52602.48988406146,849.7059125040465
219.93432361776064,297.26348469880367,262.00372693746743,1.2286366870907937,0.6781018247294321,0.7855002802835149,60.50245253035606,0.492126436781609,"925B,3H-3,17-19.csv",61173.28225273385,927.9825686579942
221.1454814745587,298.8301772821988,263.77516850021766,1.2330761029164883,0.6722898126369427,0.8080942276879209,110.64154914672028,0.495689655172414,"925B,3H-3,27-29.csv",61235.56338613934,917.8224397349924
199.1239583671856,269.8839210701163,237.89336571346448,1.2326614348266676,0.6726086747104028,0.8028056235723919,104.89147473593773,0.498183908045977,"925B,3H-3,34-36.csv",49335.687728706995,829.1369863938867
207.91189626059594,281.8684927508378,249.3855602075272,1.231895293267674,0.6723525285760109,0.7871632757881877,56.970043583687136,0.501747126436782,"925B,3H-3,44-46.csv",54095.398919001214,881.5119799483541
209.64789306213595,282.3734195620886,249.97907321295557,1.2271324001541664,0.6783864256446291,0.793142481797471,131.36161378038304,0.504597701149425,"925B,3H-3,52-54.csv",55043.931463595894,879.3756640731336
223.2782346717012,302.6690362027307,266.350162187718,1.2379849040700281,0.6688538057027571,0.8012423074400864,111.30549939004065,0.507448275862069,"925B,3H-3,60-62.csv",63428.60283634271,931.168523620345
230.26727844598483,309.203761121168,274.0553988626421,1.2301760004747895,0.6752514366436896,0.8063977454259802,134.36318485088097,0.513149425287356,"925B,3H-3,76-78.csv",65574.75350396434,957.7197916761749
220.54121910959412,299.1700107492411,264.2311345097746,1.2321812878529643,0.6734582231945533,0.7783989562301622,57.98740201849969,0.517315789473684,"925B,3H-3,89-91.csv",60817.523899275526,938.2321747788093
209.23557331298764,275.2173285679254,245.53322614200874,2.2049370186782227,1.6949024512165178,1.7969591184109177,112.85568247754578,2.90077586206897,"925C,10H-2,111-113.xlsx",50960.218255708,860.3633622739694
